"filename", "language", "JSON", "JavaScript", "TypeScript", "YAML", "Docker", "Groovy", "Ignore", "JSON with Comments", "Markdown", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"e:\Projects\Nextjs-projects\icstudio\icstudio\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 3
"e:\Projects\Nextjs-projects\icstudio\icstudio\.prettierrc", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\Projects\Nextjs-projects\icstudio\icstudio\Dockerfile", "Docker", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 14, 14, 48
"e:\Projects\Nextjs-projects\icstudio\icstudio\Jenkinsfile", "Groovy", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 8, 13, 113
"e:\Projects\Nextjs-projects\icstudio\icstudio\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 14, 37
"e:\Projects\Nextjs-projects\icstudio\icstudio\components.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"e:\Projects\Nextjs-projects\icstudio\icstudio\docker-compose.yml", "YAML", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"e:\Projects\Nextjs-projects\icstudio\icstudio\eslint.config.mjs", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"e:\Projects\Nextjs-projects\icstudio\icstudio\next.config.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"e:\Projects\Nextjs-projects\icstudio\icstudio\package-lock.json", "JSON", 5757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5758
"e:\Projects\Nextjs-projects\icstudio\icstudio\package.json", "JSON", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 80
"e:\Projects\Nextjs-projects\icstudio\icstudio\pnpm-lock.yaml", "YAML", 0, 0, 0, 4623, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1100, 5723
"e:\Projects\Nextjs-projects\icstudio\icstudio\postcss.config.mjs", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"e:\Projects\Nextjs-projects\icstudio\icstudio\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Projects\Nextjs-projects\icstudio\icstudio\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Projects\Nextjs-projects\icstudio\icstudio\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
