"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "Markdown", "TypeScript JSX", "HTML", "XML", "CSS", "YAML", "comment", "blank", "total"
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\.prettierrc", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 5, 8
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\components.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\eslint.config.mjs", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\next.config.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 3, 18
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\package-lock.json", "JSON", 5802, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5803
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\package.json", "JSON", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4322, 0, 1038, 5360
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\postcss.config.mjs", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\public\logo\logo-django.42234b631760.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\public\logo\logo-t.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 536, 0, 0, 0, 1, 537
